Date,SAM,Time,Eff,Style,Type,Sub-process,SAM,N.o OPN
01/04/2023,5048.1719,8034,0.63,VSS22-00424-1103(XX),11,XX,15.0287,32
03/04/2023,6419.8664,10519,0.61,VSS22-00424-1103(XX),11,XX,15.0287,32
04/04/2023,7372.4855,11538,0.64,VSS22-00424-1103(XX),11,XX,15.0287,32
05/04/2023,7571.3572,11445,0.66,VSS22-00424-1103(XX),11,XX,15.0287,32
06/04/2023,7489.9693,11407,0.66,VSS22-00424-1103(XX),11,XX,15.0287,32
07/04/2023,7749.3472,11527,0.67,VSS22-00424-1103(XX),11,XX,15.0287,32
08/04/2023,6619.4397,10354,0.64,VSS22-00424-1103(XX),11,XX,15.0287,32
10/04/2023,9256.6342,13596.7,0.68,VSS22-00424-1103(XX),11,XX,15.0287,32
11/04/2023,10049.6293,14005,0.72,VSS22-00424-1103(XX),11,XX,15.0287,32
12/04/2023,9848.6474,13394,0.74,VSS22-00424-1103(XX),11,XX,15.0287,32
13/04/2023,9987.9263,14104,0.71,VSS22-00424-1103(XX),11,XX,15.0287,32
14/04/2023,4727.2043,11698.8,0.40,VSS22-00424-1103(XX),11,XX,15.0287,32
15/04/2023,5958.764,9797,0.61,PKS21-00031-1101(M1),11,M1,9.5946,21
17/04/2023,9116.7069,13531,0.67,PKS21-00031-1101(M1),11,M1,9.5946,21
18/04/2023,9080.717,12237,0.74,PKS21-00031-1101(M1),11,M1,9.5946,21
19/04/2023,6985.623,9390,0.74,PKS21-00031-1101(M1),11,M1,9.5946,21
20/04/2023,8881.264,10965,0.81,PKS21-00031-1101(M1),11,M1,9.5946,21
21/04/2023,9026.378,10995,0.82,PKS21-00031-1101(M1),11,M1,9.5946,21
22/04/2023,4402.24,5040,0.87,PKS21-00031-1101(M1),11,M1,9.5946,21
24/04/2023,9152.792,10365,0.88,PKS21-00031-1101(M1),11,M1,9.5946,21
25/04/2023,9161.756,9915,0.92,PKS21-00031-1101(M1),11,M1,9.5946,21
26/04/2023,9764.4092,10440,0.94,PKS21-00031-1101(M1),11,M1,9.5946,21
